order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,not_shipped,not_delivered,delivery_time
20,16,Cancelled,F,2023-01-23 16:23:00+00:00,Not Returned,,,2,True,True,
121,84,Cancelled,F,2023-01-20 04:17:00+00:00,Not Returned,,,3,True,True,
484,385,Cancelled,F,2023-02-14 08:14:00+00:00,Not Returned,,,1,True,True,
649,521,Cancelled,F,2023-06-19 18:04:00+00:00,Not Returned,,,1,True,True,
684,546,Cancelled,F,2023-05-08 06:18:00+00:00,Not Returned,,,1,True,True,
699,560,Cancelled,F,2023-05-18 07:19:00+00:00,Not Returned,,,1,True,True,
890,722,Cancelled,F,2023-02-10 13:09:00+00:00,Not Returned,,,1,True,True,
911,738,Cancelled,F,2023-06-01 11:44:00+00:00,Not Returned,,,2,True,True,
966,785,Cancelled,F,2023-06-25 11:54:00+00:00,Not Returned,,,2,True,True,
1003,809,Cancelled,F,2023-01-07 06:22:00+00:00,Not Returned,,,3,True,True,
1062,852,Cancelled,F,2023-05-08 15:02:00+00:00,Not Returned,,,1,True,True,
1253,1028,Cancelled,F,2023-04-25 01:19:00+00:00,Not Returned,,,1,True,True,
1273,1045,Cancelled,F,2023-05-02 07:59:00+00:00,Not Returned,,,1,True,True,
1435,1179,Cancelled,F,2023-01-23 14:35:00+00:00,Not Returned,,,1,True,True,
1448,1189,Cancelled,F,2023-05-30 05:39:00+00:00,Not Returned,,,1,True,True,
1470,1209,Cancelled,F,2023-02-20 05:17:00+00:00,Not Returned,,,1,True,True,
1583,1297,Cancelled,F,2023-02-11 09:13:00+00:00,Not Returned,,,1,True,True,
1610,1319,Cancelled,F,2023-03-27 06:01:00+00:00,Not Returned,,,4,True,True,
1660,1359,Cancelled,F,2023-05-07 03:54:00+00:00,Not Returned,,,1,True,True,
1764,1447,Cancelled,F,2023-04-25 12:25:00+00:00,Not Returned,,,1,True,True,
1937,1590,Cancelled,F,2023-05-08 07:33:00+00:00,Not Returned,,,1,True,True,
1950,1596,Cancelled,F,2023-04-04 12:02:00+00:00,Not Returned,,,2,True,True,
2008,1641,Cancelled,F,2023-01-05 00:58:00+00:00,Not Returned,,,1,True,True,
2149,1749,Cancelled,F,2023-02-24 18:32:00+00:00,Not Returned,,,2,True,True,
2219,1810,Cancelled,F,2023-06-20 16:45:00+00:00,Not Returned,,,1,True,True,
2489,2027,Cancelled,F,2023-03-27 16:46:00+00:00,Not Returned,,,1,True,True,
2680,2185,Cancelled,F,2023-02-16 09:18:00+00:00,Not Returned,,,3,True,True,
2780,2276,Cancelled,F,2023-02-13 09:49:00+00:00,Not Returned,,,1,True,True,
2830,2313,Cancelled,F,2023-02-24 09:50:00+00:00,Not Returned,,,1,True,True,
2882,2358,Cancelled,F,2023-02-09 03:03:00+00:00,Not Returned,,,1,True,True,
2896,2366,Cancelled,F,2023-04-19 05:42:00+00:00,Not Returned,,,1,True,True,
3147,2591,Cancelled,F,2023-06-09 16:31:00+00:00,Not Returned,,,1,True,True,
3248,2670,Cancelled,F,2023-04-24 07:09:00+00:00,Not Returned,,,1,True,True,
3324,2726,Cancelled,F,2023-02-25 08:33:00+00:00,Not Returned,,,1,True,True,
3357,2752,Cancelled,F,2023-03-31 03:12:00+00:00,Not Returned,,,1,True,True,
3484,2861,Cancelled,F,2023-01-23 18:58:00+00:00,Not Returned,,,1,True,True,
3557,2919,Cancelled,F,2023-02-01 15:32:00+00:00,Not Returned,,,1,True,True,
3617,2961,Cancelled,F,2023-02-17 10:09:00+00:00,Not Returned,,,2,True,True,
3630,2971,Cancelled,F,2023-03-23 11:46:00+00:00,Not Returned,,,1,True,True,
3671,3005,Cancelled,F,2023-04-11 04:10:00+00:00,Not Returned,,,2,True,True,
3877,3155,Cancelled,F,2023-05-07 13:51:00+00:00,Not Returned,,,1,True,True,
4231,3438,Cancelled,F,2023-05-08 06:37:00+00:00,Not Returned,,,1,True,True,
4389,3570,Cancelled,F,2023-06-29 13:08:00+00:00,Not Returned,,,1,True,True,
4945,4017,Cancelled,F,2023-02-01 01:06:00+00:00,Not Returned,,,3,True,True,
5020,4077,Cancelled,F,2023-04-12 17:00:00+00:00,Not Returned,,,1,True,True,
5564,4519,Cancelled,F,2023-04-08 17:18:00+00:00,Not Returned,,,1,True,True,
5949,4816,Cancelled,F,2023-01-26 17:51:00+00:00,Not Returned,,,2,True,True,
5960,4821,Cancelled,F,2023-06-28 13:04:00+00:00,Not Returned,,,4,True,True,
5973,4830,Cancelled,F,2023-05-11 10:23:00+00:00,Not Returned,,,1,True,True,
6461,5226,Cancelled,F,2023-04-06 03:25:00+00:00,Not Returned,,,2,True,True,
6465,5233,Cancelled,F,2023-06-13 16:49:00+00:00,Not Returned,,,1,True,True,
6487,5250,Cancelled,F,2023-06-30 01:51:00+00:00,Not Returned,,,3,True,True,
6574,5316,Cancelled,F,2023-06-04 15:32:00+00:00,Not Returned,,,1,True,True,
6750,5445,Cancelled,F,2023-01-03 17:11:00+00:00,Not Returned,,,1,True,True,
7128,5767,Cancelled,F,2023-03-31 07:53:00+00:00,Not Returned,,,1,True,True,
7434,6019,Cancelled,F,2023-05-03 04:22:00+00:00,Not Returned,,,1,True,True,
7715,6245,Cancelled,F,2023-04-21 02:28:00+00:00,Not Returned,,,3,True,True,
7743,6268,Cancelled,F,2023-03-08 10:16:00+00:00,Not Returned,,,2,True,True,
8161,6589,Cancelled,F,2023-04-22 00:38:00+00:00,Not Returned,,,2,True,True,
8402,6793,Cancelled,F,2023-06-22 08:58:00+00:00,Not Returned,,,1,True,True,
8572,6920,Cancelled,F,2023-01-29 11:48:00+00:00,Not Returned,,,1,True,True,
8598,6942,Cancelled,F,2023-01-31 18:33:00+00:00,Not Returned,,,1,True,True,
8658,6991,Cancelled,F,2023-04-01 07:23:00+00:00,Not Returned,,,4,True,True,
8783,7084,Cancelled,F,2023-06-30 18:52:00+00:00,Not Returned,,,1,True,True,
8852,7137,Cancelled,F,2023-03-23 02:33:00+00:00,Not Returned,,,1,True,True,
9473,7622,Cancelled,F,2023-03-25 02:03:00+00:00,Not Returned,,,1,True,True,
9592,7712,Cancelled,F,2023-03-03 08:57:00+00:00,Not Returned,,,2,True,True,
9627,7745,Cancelled,F,2023-01-15 18:25:00+00:00,Not Returned,,,1,True,True,
9652,7763,Cancelled,F,2023-06-28 15:34:00+00:00,Not Returned,,,1,True,True,
10117,8131,Cancelled,F,2023-06-09 12:13:00+00:00,Not Returned,,,1,True,True,
10130,8139,Cancelled,F,2023-03-10 01:58:00+00:00,Not Returned,,,1,True,True,
10132,8140,Cancelled,F,2023-06-30 12:29:00+00:00,Not Returned,,,1,True,True,
10184,8179,Cancelled,F,2023-06-24 12:38:00+00:00,Not Returned,,,1,True,True,
10648,8561,Cancelled,F,2023-05-02 14:32:00+00:00,Not Returned,,,1,True,True,
10918,8761,Cancelled,F,2023-03-17 13:02:00+00:00,Not Returned,,,2,True,True,
11011,8847,Cancelled,F,2023-06-11 13:11:00+00:00,Not Returned,,,1,True,True,
11144,8945,Cancelled,F,2023-04-19 00:38:00+00:00,Not Returned,,,1,True,True,
11373,9127,Cancelled,F,2023-01-20 15:24:00+00:00,Not Returned,,,1,True,True,
11446,9194,Cancelled,F,2023-01-12 07:59:00+00:00,Not Returned,,,1,True,True,
11455,9202,Cancelled,F,2023-05-11 16:09:00+00:00,Not Returned,,,1,True,True,
11706,9401,Cancelled,F,2023-06-19 05:04:00+00:00,Not Returned,,,1,True,True,
11886,9537,Cancelled,F,2023-03-16 06:07:00+00:00,Not Returned,,,2,True,True,
11932,9582,Cancelled,F,2023-02-25 00:59:00+00:00,Not Returned,,,2,True,True,
12082,9703,Cancelled,F,2023-05-23 00:36:00+00:00,Not Returned,,,1,True,True,
12218,9824,Cancelled,F,2023-05-07 11:31:00+00:00,Not Returned,,,1,True,True,
12339,9909,Cancelled,F,2023-06-03 00:16:00+00:00,Not Returned,,,1,True,True,
12412,9951,Cancelled,F,2023-02-25 17:41:00+00:00,Not Returned,,,1,True,True,
12544,10053,Cancelled,F,2023-03-19 02:32:00+00:00,Not Returned,,,1,True,True,
13108,10484,Cancelled,F,2023-06-13 13:44:00+00:00,Not Returned,,,2,True,True,
13154,10515,Cancelled,F,2023-03-18 06:36:00+00:00,Not Returned,,,1,True,True,
13184,10537,Cancelled,F,2023-02-03 00:48:00+00:00,Not Returned,,,1,True,True,
13230,10573,Cancelled,F,2023-06-14 01:38:00+00:00,Not Returned,,,1,True,True,
13285,10625,Cancelled,F,2023-05-14 12:22:00+00:00,Not Returned,,,1,True,True,
13383,10701,Cancelled,F,2023-01-10 09:57:00+00:00,Not Returned,,,2,True,True,
13457,10769,Cancelled,F,2023-06-21 13:13:00+00:00,Not Returned,,,3,True,True,
13510,10804,Cancelled,F,2023-05-26 04:16:00+00:00,Not Returned,,,1,True,True,
13560,10839,Cancelled,F,2023-02-14 14:05:00+00:00,Not Returned,,,1,True,True,
13571,10849,Cancelled,F,2023-06-12 13:34:00+00:00,Not Returned,,,1,True,True,
14208,11367,Cancelled,F,2023-06-24 05:46:00+00:00,Not Returned,,,1,True,True,
14469,11576,Cancelled,F,2023-04-23 14:01:00+00:00,Not Returned,,,1,True,True,
14520,11608,Cancelled,F,2023-01-24 04:56:00+00:00,Not Returned,,,1,True,True,
14536,11623,Cancelled,F,2023-06-14 02:49:00+00:00,Not Returned,,,1,True,True,
14614,11692,Cancelled,F,2023-06-20 15:36:00+00:00,Not Returned,,,3,True,True,
14780,11814,Cancelled,F,2023-05-12 08:12:00+00:00,Not Returned,,,1,True,True,
14781,11817,Cancelled,F,2023-06-23 06:42:00+00:00,Not Returned,,,1,True,True,
14810,11835,Cancelled,F,2023-01-28 06:56:00+00:00,Not Returned,,,1,True,True,
14847,11864,Cancelled,F,2023-01-30 12:54:00+00:00,Not Returned,,,1,True,True,
15137,12115,Cancelled,F,2023-06-04 03:03:00+00:00,Not Returned,,,1,True,True,
15367,12305,Cancelled,F,2023-01-12 13:19:00+00:00,Not Returned,,,1,True,True,
15522,12439,Cancelled,F,2023-01-20 16:46:00+00:00,Not Returned,,,1,True,True,
15562,12473,Cancelled,F,2023-06-08 03:54:00+00:00,Not Returned,,,2,True,True,
15661,12545,Cancelled,F,2023-06-30 08:07:00+00:00,Not Returned,,,1,True,True,
15979,12811,Cancelled,F,2023-03-17 02:10:00+00:00,Not Returned,,,1,True,True,
16210,12984,Cancelled,F,2023-05-05 11:58:00+00:00,Not Returned,,,1,True,True,
16771,13414,Cancelled,F,2023-04-05 18:56:00+00:00,Not Returned,,,1,True,True,
16831,13470,Cancelled,F,2023-01-14 09:17:00+00:00,Not Returned,,,1,True,True,
17307,13829,Cancelled,F,2023-06-27 08:52:00+00:00,Not Returned,,,1,True,True,
17377,13883,Cancelled,F,2023-06-06 00:21:00+00:00,Not Returned,,,4,True,True,
17568,14055,Cancelled,F,2023-04-03 02:06:00+00:00,Not Returned,,,1,True,True,
17608,14095,Cancelled,F,2023-01-14 18:44:00+00:00,Not Returned,,,1,True,True,
17690,14156,Cancelled,F,2023-03-23 16:53:00+00:00,Not Returned,,,1,True,True,
18127,14512,Cancelled,F,2023-06-21 03:56:00+00:00,Not Returned,,,2,True,True,
18228,14598,Cancelled,F,2023-06-25 18:54:00+00:00,Not Returned,,,2,True,True,
18290,14643,Cancelled,F,2023-05-16 04:35:00+00:00,Not Returned,,,1,True,True,
18603,14909,Cancelled,F,2023-03-22 07:30:00+00:00,Not Returned,,,1,True,True,
18936,15170,Cancelled,F,2023-01-20 01:40:00+00:00,Not Returned,,,1,True,True,
19007,15224,Cancelled,F,2023-04-01 09:13:00+00:00,Not Returned,,,2,True,True,
19093,15285,Cancelled,F,2023-06-28 03:35:00+00:00,Not Returned,,,1,True,True,
19297,15468,Cancelled,F,2023-01-28 07:08:00+00:00,Not Returned,,,4,True,True,
19314,15480,Cancelled,F,2023-06-14 16:04:00+00:00,Not Returned,,,1,True,True,
19431,15582,Cancelled,F,2023-05-28 00:43:00+00:00,Not Returned,,,1,True,True,
19478,15623,Cancelled,F,2023-03-16 08:12:00+00:00,Not Returned,,,1,True,True,
19576,15703,Cancelled,F,2023-04-09 04:35:00+00:00,Not Returned,,,2,True,True,
19709,15823,Cancelled,F,2023-01-26 10:47:00+00:00,Not Returned,,,1,True,True,
